Id,PropertyId,SubCategoryName,Value
15,4,Промышленное,Фасовочное и упаковочное
16,4,Промышленное,Специализированное
17,4,Промышленное,Климатическое
18,4,Промышленное,Контрольно-измерительное
19,4,Промышленное,Паяльное и сварочное
20,5,Промышленное,Промышленное
21,6,Промышленное,Дерево
22,6,Промышленное,Металл
23,6,Промышленное," Пластик"
24,6,Промышленное,Пластик
25,6,Промышленное," Стекло"
26,6,Промышленное," Камень"
27,6,Промышленное," Металл"
28,7,Промышленное,Кромкооблицовочный
29,7,Промышленное,Фрезерный
30,7,Промышленное,Листогибочный
31,7,Промышленное,Круглошлифовальный
32,7,Промышленное,Сверлильный
33,7,Промышленное,Плазменный
34,7,Промышленное,Многофункциональный
35,7,Промышленное,Форматно-раскроечный
36,7,Промышленное,Лазерный
37,7,Промышленное,Вальцы
38,7,Промышленное,Вакуум-формовочный
39,7,Промышленное,Заточный
40,7,Промышленное,Шлифовальный
41,7,Промышленное,Плоттер
42,7,Промышленное,Пресс
43,7,Промышленное,Рейсмусовый
44,7,Промышленное,Пилорама
45,7,Промышленное,Торцовочный
46,7,Промышленное,Многопильный
47,7,Промышленное,Токарный
48,7,Промышленное,Сверлильно-присадочный
49,7,Промышленное,Долбежный
50,7,Промышленное,Кузнечный
51,7,Промышленное,Обжимной
52,7,Промышленное,Запчасти и комплектующие
53,7,Промышленное,Проволокогибочный
54,8,Промышленное,Россия
55,8,Промышленное,Китай
56,8,Промышленное,Италия
57,8,Промышленное,Германия
58,8,Промышленное,Польша
59,8,Промышленное,Великобритания
60,8,Промышленное,Дания
61,8,Промышленное,Турция
62,8,Промышленное,Нидерланды
63,8,Промышленное,Швеция
64,8,Промышленное,Япония
65,8,Промышленное,Белоруссия
66,8,Промышленное,Швейцария
67,8,Промышленное,Испания
68,9,Промышленное,Преобразователи
69,9,Промышленное,Трансформаторы
70,9,Промышленное,Запчасти и комплектующие
71,9,Промышленное,Генераторы и электростанции
72,9,Промышленное,Релейная защита и автоматика
73,10,Промышленное,Подстанция
74,10,Промышленное,Силовой
75,10,Промышленное,Трансформатор напряжения
76,11,Промышленное,75 кВт
77,11,Промышленное,15 кВт
78,11,Промышленное,33 кВт
79,11,Промышленное,100 кВт
80,11,Промышленное,41 кВт
81,11,Промышленное,160 кВт
82,11,Промышленное,118 кВт
83,11,Промышленное,4 кВт
84,11,Промышленное,7 кВт
85,11,Промышленное,80 кВт
86,11,Промышленное,200 кВт
87,12,Промышленное,8 атм
88,12,Промышленное,7 атм
89,12,Промышленное,20 атм
90,12,Промышленное,12 атм
91,12,Промышленное,10 атм
92,13,Промышленное,16 500 л/мин
93,13,Промышленное,2 400 л/мин
94,13,Промышленное,5 000 л/мин
95,13,Промышленное,3 500 л/мин
96,13,Промышленное,7 000 л/мин
97,13,Промышленное,12 000 л/мин
98,13,Промышленное,1 000 л/мин
99,13,Промышленное,5 200 л/мин
100,13,Промышленное,35 000 л/мин
101,14,Промышленное,Электрический
102,14,Промышленное,Дизельный
103,15,Промышленное,Винтовой
104,15,Промышленное,Поршневой
105,16,Промышленное,Dali
106,16,Промышленное,Airman
107,16,Промышленное,Yuchai
108,16,Промышленное,Berg
109,16,Промышленное,Kraftmachine
110,16,Промышленное,ТСС
111,16,Промышленное,Baysar
112,16,Промышленное,Crossair
113,16,Промышленное,Jet
114,16,Промышленное,Airline
115,16,Промышленное,Ironmac
116,16,Промышленное,ET-Compressors
117,16,Промышленное,ЧКЗ
118,16,Промышленное,TSS
119,17,Промышленное,Компрессоры
120,17,Промышленное,Насосы
121,17,Промышленное,Запчасти и комплектующие
122,17,Промышленное,Осушители
123,17,Промышленное,Рукава высокого давления
124,18,Промышленное,с
125,19,Промышленное,Ленточный
126,19,Промышленное,Шнековый
127,19,Промышленное,Запчасти и комплектующие
128,19,Промышленное,Рольганг
129,20,Промышленное,Упаковочный аппарат
130,20,Промышленное,Укупорщики
131,20,Промышленное,Запайщик
132,20,Промышленное,Заклейщик
133,20,Промышленное,Фасовочно-упаковочный аппарат
134,20,Промышленное,Дозаторы
135,20,Промышленное,Фасовочный аппарат
136,20,Промышленное,Запчасти и расходные материалы
137,20,Промышленное,Маркиратор
138,21,Промышленное,Смесители
139,21,Промышленное,Полимерное и покрасочное
140,21,Промышленное,Добывающее
141,21,Промышленное,Строительное
142,21,Промышленное,Перерабатывающее
143,21,Промышленное,Сельскохозяйственное
144,21,Промышленное,Химическое
145,21,Промышленное,Текстильное
146,21,Промышленное,Клининговое
147,22,Промышленное,Отопление
148,22,Промышленное,Вентиляция
149,22,Промышленное,Кондиционирование
150,23,Промышленное,Весы
151,23,Промышленное,Датчики
152,23,Промышленное,Запчасти и комплектующие
153,24,Промышленное,770 мм
154,24,Промышленное,1 200 мм
155,24,Промышленное,2 500 мм
156,25,Промышленное,600 мм
157,25,Промышленное,1 000 мм
158,25,Промышленное,2 240 мм
159,26,Промышленное,1 280 мм
160,26,Промышленное,2 000 мм
161,26,Промышленное,5 050 мм
162,27,Промышленное,18.5 кВт
163,27,Промышленное,50 кВт
164,27,Промышленное,200 кВт
165,28,Промышленное,Дизельный
166,28,Промышленное,Электростанция
167,29,Промышленное,Циркуляционный
168,29,Промышленное,Канализационный
169,30,Промышленное,Сварочные аппараты
170,30,Промышленное,Запчасти и комплектующие
171,30,Промышленное,Сварочные столы
172,30,Промышленное,Паяльники и паяльные станции
173,31,Промышленное,Трёхфазные
174,32,Промышленное,Масляный
175,33,Промышленное,10 кВ
